1696118400000,26962.57000000,26997.00000000,26954.09000000,26991.07000000,335.39749000,1696121999999,9047071.40095790,20542,204.32754000,5511504.82782970,0
1696122000000,26991.08000000,27037.40000000,26978.87000000,27019.83000000,373.49769000,1696125599999,10087242.69562230,20989,204.97691000,5536000.71204810,0
1696125600000,27019.83000000,27047.75000000,27018.42000000,27025.89000000,369.23383000,1696129199999,9980988.75019920,19384,153.94362000,4161226.41827170,0
1696129200000,27025.89000000,27048.00000000,27010.23000000,27044.76000000,271.34716000,1696132799999,7335701.93254550,16741,124.84105000,3374818.11386510,0
1696132800000,27044.77000000,27047.77000000,27020.90000000,27045.47000000,274.45106000,1696136399999,7419331.23013410,16398,121.13263000,3274493.26853350,0
1696136400000,27045.47000000,27072.75000000,27041.86000000,27071.72000000,636.01777000,1696139999999,17210632.16214850,21322,337.15247000,9123071.84787100,0
1696140000000,27071.73000000,27138.33000000,27071.72000000,27128.85000000,859.55077000,1696143599999,23300768.61191890,31999,486.44248000,13186173.36905780,0
1696143600000,27128.85000000,27158.59000000,27097.04000000,27107.95000000,885.13255000,1696147199999,24014519.86895990,27320,441.21679000,11970355.99263760,0
1696147200000,27107.94000000,27157.87000000,27086.74000000,27135.47000000,658.87949000,1696150799999,17869682.02789240,25107,331.71191000,8997354.51283470,0
1696150800000,27135.47000000,27231.81000000,27135.47000000,27217.77000000,1157.83556000,1696154399999,31484546.30249080,43962,590.64112000,16060938.14411260,0
1696154400000,27217.78000000,27289.08000000,27159.98000000,27210.01000000,1383.16324000,1696157999999,37662602.86054380,48787,721.16059000,19637813.70535300,0
1696158000000,27210.00000000,27239.89000000,27170.00000000,27187.71000000,769.35893000,1696161599999,20925269.32095410,36013,388.31567000,10561040.19022140,0
1696161600000,27187.71000000,27199.79000000,27126.28000000,27193.98000000,822.19433000,1696165199999,22334739.89894640,35331,426.03600000,11572878.01389680,0
1696165200000,27193.98000000,27196.89000000,27148.56000000,27192.04000000,669.63962000,1696168799999,18193384.74349350,32884,323.57095000,8790770.70063650,0
1696168800000,27192.04000000,27229.29000000,27083.24000000,27119.79000000,996.38542000,1696172399999,27053394.58797190,43790,470.41168000,12771912.20274410,0
1696172400000,27119.79000000,27155.85000000,27107.01000000,27153.18000000,541.59390000,1696175999999,14694463.73968870,29637,262.93008000,7133784.93542250,0
1696176000000,27153.17000000,27155.00000000,27082.38000000,27112.19000000,585.50462000,1696179599999,15880323.22314260,29652,243.21297000,6596249.02600380,0
1696179600000,27112.20000000,27140.45000000,27035.78000000,27072.35000000,730.04943000,1696183199999,19778006.17790270,34610,308.27381000,8352443.25349630,0
1696183200000,27072.34000000,27100.01000000,27065.07000000,27096.13000000,438.07759000,1696186799999,11866942.71656430,25812,201.68468000,5463138.40758200,0
1696186800000,27096.13000000,27107.77000000,27076.36000000,27103.02000000,366.15670000,1696190399999,9921697.93183650,18646,194.78553000,5278019.81817500,0
1696190400000,27103.02000000,27147.00000000,27033.10000000,27109.75000000,766.63067000,1696193999999,20773720.29845520,33814,338.11065000,9162322.74098950,0
1696194000000,27109.75000000,27187.99000000,27091.78000000,27180.37000000,365.73406000,1696197599999,9922333.68159470,20712,200.32039000,5434875.95679070,0
1696197600000,27180.38000000,28065.51000000,27155.00000000,27996.43000000,7785.49229000,1696201199999,216315971.98434250,180762,4453.35247000,123692856.34164210,0
1696201200000,27996.43000000,28025.12000000,27861.47000000,27992.57000000,2561.49051000,1696204799999,71583785.84611400,69379,1287.43495000,35978918.97011190,0
1696204800000,27992.58000000,28062.43000000,27880.95000000,27932.05000000,2783.33437000,1696208399999,77823439.68157070,68328,1476.75450000,41295025.54634220,0
